parameter_name,origin,black_box,calibration_status,type,default,min,max,notes
order_type,revision2_35,P01D,HARD-CODE,str,MARKET,0,0,Execution order type
phase1_exploration_intensity,base_33,UnifiedExecution,HARD-CODE,int,50,30,100,Optimizer phase 1 exploration
phase2_optimization_intensity,base_33,UnifiedExecution,HARD-CODE,int,250,100,500,Optimizer phase 2 intensity
pid_derivative_smoothing,revision2_35,MPC,CALIBRATE,int,3,1,10,Derivative smoothing
pid_integral_max_clamp,revision2_35,MPC,CALIBRATE,float,0.1,0.02,0.25,Integral clamp
pid_integral_window_bars,revision2_35,MPC,CALIBRATE,int,10,5,30,Integral window
pid_kd_entry,revision2_35,MPC,CALIBRATE,float,0.08,0.01,0.2,Entry KD
pid_kd_exit,revision2_35,MPC,CALIBRATE,float,0.06,0.01,0.15,Exit KD
pid_ki_entry,revision2_35,MPC,CALIBRATE,float,0.05,0.01,0.2,Entry KI
pid_ki_exit,revision2_35,MPC,CALIBRATE,float,0.04,0.01,0.15,Exit KI
pid_kp_entry,revision2_35,MPC,CALIBRATE,float,0.15,0.05,0.3,Entry KP
pid_kp_exit,revision2_35,MPC,CALIBRATE,float,0.12,0.05,0.25,Exit KP
portfolio_lambda_risk_limit,revision2_35,SafetyGates,HARD-CODE,float,0.15,0.05,0.3,Portfolio lambda risk limit
profit_target_atr_mult,base_33,MPC,CALIBRATE,float,1.5,0.8,2.5,ATR profit target multiplier
profit_target_margin_buffer,base_33,MPC,CALIBRATE,float,0.1,0.0,0.5,Buffer above target
rebalance_frequency_minutes,revision2_35,PositionManager,HARD-CODE,int,60,15,240,Rebalance cadence
red_threshold,base_33,PA,CALIBRATE,float,0.3,0.1,0.5,Red threshold
retry_delay_seconds,revision2_35,P01D,HARD-CODE,int,5,1,20,Retry delay
signal_persistence_requirement,base_33,PA,CALIBRATE,float,1.5,1.0,2.5,Persistence requirement
slippage_cost_multiplier,base_33,MPC,CALIBRATE,float,1.0,0.8,1.5,Cost multiplier
slippage_guard_threshold,base_33,ID,CALIBRATE,float,0.05,0.01,0.15,Max slippage
slippage_tolerance_percent,revision2_35,P01D,HARD-CODE,float,0.1,0.02,0.2,Slippage tolerance
stop_loss_atr_mult,base_33,MPC,CALIBRATE,float,0.75,0.3,1.2,ATR stop multiplier
symbols_to_trade,revision2_35,DataIngestion,HARD-CODE,list,[],0,0,Universe to trade
trading_hours_end,revision2_35,UnifiedExecution,HARD-CODE,str,15:30,0,0,Trading end
trading_hours_start,revision2_35,UnifiedExecution,HARD-CODE,str,09:15,0,0,Trading start
volatility_regime_multiplier,base_33,PA,CALIBRATE,float,1.0,0.7,1.5,Volatility regime multiplier
volatility_weight,base_33,PA,CALIBRATE,float,0.25,0.05,0.4,Volatility weight
vwap_calculation_period,base_33,PA,CALIBRATE,int,20,10,30,VWAP period
vwap_weight,base_33,PA,CALIBRATE,float,0.25,0.1,0.4,VWAP weight
drawdown_derate_multiplier,hardcoded_20,SafetyGates,HARD-CODE,float,0.8,0,0,Drawdown derate multiplier
drawdown_derate_threshold,hardcoded_20,SafetyGates,HARD-CODE,float,0.18,0,0,Drawdown derate trigger
kill_switch_enabled,hardcoded_20,StartupCapabilityLock,HARD-CODE,bool,True,0,0,Kill switch invariant
lambda_derate_multiplier,hardcoded_20,SafetyGates,HARD-CODE,float,0.8,0,0,Lambda reduction factor
lambda_derate_threshold,hardcoded_20,SafetyGates,HARD-CODE,float,0.15,0,0,Lambda risk trigger
max_concurrent_positions,hardcoded_20,SafetyGates,HARD-CODE,int,5,0,0,Concurrent positions cap
max_daily_loss_rupees,hardcoded_20,SafetyGates,HARD-CODE,float,50000,0,0,Daily loss hard cap
max_exposure_per_symbol_fraction,hardcoded_20,SafetyGates,HARD-CODE,float,0.15,0,0,Per-symbol cap
max_gross_exposure_fraction,hardcoded_20,SafetyGates,HARD-CODE,float,0.5,0,0,Gross exposure cap
max_market_data_age_seconds,hardcoded_20,SafetyGates,HARD-CODE,int,30,0,0,Market data age max
max_position_quantity,hardcoded_20,SafetyGates,HARD-CODE,int,100,0,0,Max qty
max_reconciliation_qty_diff,hardcoded_20,P01D,HARD-CODE,int,0,0,0,Qty reconciliation diff
max_slippage_fraction,hardcoded_20,P01D,HARD-CODE,float,0.001,0,0,Max slippage fraction
min_position_quantity,hardcoded_20,SafetyGates,HARD-CODE,int,1,0,0,Min qty
min_signal_confidence,hardcoded_20,PA,HARD-CODE,float,0.55,0,0,Minimum signal confidence
no_entry_cutoff_time,hardcoded_20,UnifiedExecution,HARD-CODE,str,15:20,0,0,Cutoff time
order_dedup_window_seconds,hardcoded_20,P01D,HARD-CODE,int,5,0,0,Order dedup window
order_timeout_seconds_execution,hardcoded_20,P01D,HARD-CODE,int,30,0,0,Execution timeout
safety_drawdown_halt_threshold,hardcoded_20,SafetyGates,HARD-CODE,float,0.25,0,0,Hard drawdown halt
safety_min_risk_reward_ratio,hardcoded_20,ID,HARD-CODE,float,1.5,0,0,Minimum reward/risk
